"FLORIDA, 19TH JUDICIAL CIRCUIT (SAINT LUCIE)",34,1,2,9,5
"COLORADO, 21ST JUDICIAL DISTRICT (MESA)",13,3,3,15,5
"WASHINGTON, EASTERN",1,8,6,,5
"NEW JERSEY, OCEAN",15,12,3,6,4
"CALIFORNIA, SANTA BARBARA",19,11,5,5,4
"TEXAS, EASTERN",3,5,5,15,4
"INDIANA, NORTHERN",7,19,4,12,4
"PENNSYLVANIA, CHESTER",5,8,,,3
"CALIFORNIA, ORANGE",37,26,13,4,3
"FLORIDA, NORTHERN",11,,4,4,3
"NEW YORK, NASSAU",3,1,5,1,3
"NEW JERSEY, MORRIS",28,13,,6,3
"NEW JERSEY, BURLINGTON",1,1,1,,3
"OHIO, HAMILTON",4,9,6,6,3
"WISCONSIN, EASTERN",16,,2,9,2
"MARYLAND, WICOMICO",2,2,1,1,2
"IOWA, NORTHERN",11,3,2,10,2
"WEST VIRGINIA, NORTHERN",2,,9,3,2
"TENNESSEE, 30TH JUDICIAL DISTRICT (SHELBY)",2,14,11,1,2
"COLORADO, 20TH JUDICIAL DISTRICT (BOULDER)",9,2,11,2,2
"CALIFORNIA, SONOMA",1,4,,,2
"NEW JERSEY, GLOUCESTER",13,14,1,4,2
"NEW JERSEY, UNION",11,19,23,7,1
"NEW JERSEY, SALEM",11,,4,14,1
"CALIFORNIA, MERCED",2,16,6,1,1
"INDIANA, MARION",1,,3,,1
"IOWA, SOUTHERN",7,3,7,8,1
"NEW JERSEY, CAPE MAY",4,1,2,7,1
ALASKA,5,,,4,1
"WYOMING, LARAMIE",1,3,6,,1
"WEST VIRGINIA, SOUTHERN",4,,,7,1
